大カテゴリ	小カテゴリ	条文No（判例）	問題文	解答1	解答2	解答3	解答4
憲法	統治機構	憲法第41条	国会は、国権の{0}であつて、国の唯一の{1}である。	最高機関	立法機関		
憲法	統治機構	憲法第51条	両議院の議員は、議院で行つた演説、討論又は{0}について、{1}で責任を問はれない。	表決	院外		
憲法	統治機構	憲法第54条2項	衆議院が解散されたときは、参議院は、同時に{0}となる。但し、{1}は、国に緊急の必要があるときは、{2}を求めることができる。	閉会	内閣	参議院の緊急集会	
憲法	統治機構	憲法第56条1項	両議院は、各々その総議員の{0}の出席がなければ、議事を開き議決することができない。	3分の1以上			
憲法	統治機構	憲法第56条2項	両議院の議事は、この憲法に特別の定のある場合を除いては、出席議員の{0}でこれを決し、可否同数のときは、{1}の決するところによる。	過半数	議長		
憲法	統治機構	憲法第58条	両議院は、各々その会議その他の手続及び内部の規律に関する{0}を定め、又、院内の秩序をみだした議員を{1}することができる。但し、議員を除名するには、出席議員の{2}の多数による議決を必要とする。	規則	懲罰	3分の2以上	
憲法	内閣	憲法第66条	内閣は、法律の定めるところにより、その{0}たる内閣総理大臣及びその他の国務大臣でこれを組織する。内閣総理大臣その他の国務大臣は、{1}でなければならない。内閣は、行政権の行使について、国会に対し{2}責任を負ふ。	首長	文民	連帯して	
憲法	内閣	憲法第67条	内閣総理大臣は、{0}の中から{1}の議決で、これを指名する。	国会議員	国会		
憲法	内閣	憲法第69条	内閣は、{0}で不信任の決議案を可決し、又は信任の決議案を否決したときは、{1}日以内に{0}が解散されない限り、{2}をしなければならない。	衆議院	10	総辞職	
憲法	内閣	憲法第70条	{0}が欠けたとき、又は{1}の後に初めて国会の召集があつたときは、内閣は、総辞職をしなければならない。	内閣総理大臣	衆議院議員総選挙		
憲法	内閣	憲法第72条	内閣総理大臣は、内閣を代表して{0}を国会に提出し、一般国務及び外交関係について国会に報告し、並びに行政各部を{1}する。	議案	指揮監督		
憲法	裁判所	憲法第76条1項・2項	すべて{0}は、最高裁判所及び法律の定めるところにより設置する下級裁判所に属する。{1}は、これを設置することができない。行政機関は、{2}として裁判を行ふことができない。	司法権	特別裁判所	終審	
憲法	裁判所	憲法第76条3項	すべて裁判官は、その{0}に従ひ{1}してその職権を行ひ、この憲法及び法律にのみ拘束される。	良心	独立		
憲法	裁判所	憲法第78条	裁判官は、裁判により、{0}のために職務を執ることができないと決定された場合を除いては、{1}によらなければ罷免されない。裁判官の懲戒処分は、{2}がこれを行ふことはできない。	心身の故障	公の弾劾	行政機関	
憲法	裁判所	憲法第79条	最高裁判所の裁判官の任命は、その任命後初めて行はれる{0}の際国民の{1}に付し、その後{2}を経過した後初めて行はれる{0}の際更に{1}に付する。	衆議院議員総選挙	審査	10年	
憲法	裁判所	憲法第82条2項	裁判所が、裁判官の{0}で、公の秩序又は善良の風俗を害する虞があると決した場合には、{1}は、公開しないでこれを行ふことができる。但し、{2}、出版に関する犯罪又はこの憲法第3章で保障する国民の権利が問題となつてゐる事件の{1}は、常にこれを公開しなければならない。	全員一致	対審	政治犯罪	
憲法	裁判所	憲法第81条	最高裁判所は、一切の法律、命令、規則又は処分が{0}に適合するかしないかを決定する権限を有する{1}である。	憲法	終審裁判所		
憲法	財政	憲法第83条	国の{0}を処理する権限は、国会の議決に基いて、これを行使しなければならない。	財政			
憲法	財政	憲法第84条	あらたに{0}を課し、又は現行の租税を変更するには、法律又は法律の定める条件によることを必要とする。	租税			
憲法	財政	憲法第86条	{0}は、毎会計年度の予算を作成し、国会に提出して、その審議を受け{1}を経なければならない。	内閣	議決		
憲法	財政	憲法第87条	予見し難い予算の不足に充てるため、国会の議決に基いて{0}を設け、内閣の責任でこれを支出することができる。すべて{0}の支出については、内閣は、事後に{1}を得なければならない。	予備費	国会の承諾		
憲法	財政	憲法第89条	公金その他の公の財産は、{0}上の組織若しくは団体の使用、便益若しくは維持のため、又は{1}に属しない慈善、教育若しくは博愛の事業に対し、これを支出し、又はその利用に供してはならない。	宗教	公の支配		
憲法	財政	憲法第90条	国の収入支出の決算は、すべて毎年{0}がこれを検査し、{1}は、次の年度に、その検査報告とともに、これを国会に提出しなければならない。	会計検査院	内閣		
憲法	憲法改正	憲法第96条1項	この憲法の改正は、各議院の総議員の{0}の賛成で、国会が、これを{1}し、国民に提案してその承認を経なければならない。この承認には、特別の国民投票又は国会の定める選挙の際行はれる投票において、その{2}の賛成を必要とする。	3分の2以上	発議	過半数	
憲法	憲法改正	憲法第96条2項	憲法改正について前項の承認を経たときは、天皇は、{0}の名で、この憲法と一体を成すものとして、直ちにこれを{1}する。	国民	公布		
憲法	基本的人権	憲法第13条	すべて国民は、{0}として尊重される。生命、自由及び{1}に対する国民の権利については、{2}の福祉に反しない限り、最大の尊重を必要とする。	個人	幸福追求	公共	
憲法	基本的人権	憲法第14条	すべて国民は、法の下に{0}であつて、人種、信条、性別、社会的身分又は{1}により、政治的、経済的又は社会的関係において、{2}されない。	平等	門地	差別	
憲法	基本的人権	憲法第19条	何人も、{0}良心の自由は、これを{1}してはならない。	思想及び	侵		
憲法	基本的人権	憲法第21条	集会、結社及び{0}、出版その他一切の{1}の自由は、これを保障する。	言論	表現		
憲法	基本的人権	憲法第25条	すべて国民は、{0}で文化的な{1}の生活を営む権利を有する。	健康	最低限度		
憲法	基本的人権	憲法第26条	すべて国民は、法律の定めるところにより、その能力に応じて、ひとしく{0}を受ける権利を有する。	教育			
憲法	基本的人権	憲法第31条	何人も、法律の定める手続によらなければ、その生命若しくは{0}を奪はれ、又はその他の{1}を科せられない。	自由	刑罰		
憲法	人権判例	最大判昭45.6.24（八幡製鉄事件）	【判例】憲法上の選挙権その他のいわゆる{0}が自然人たる国民にのみ認められたものであることは所論のとおりである。しかし、憲法第3章に定める国民の権利および義務の各条項は、性質上可能なかぎり、内国の{1}にも適用されるものと解すべきであるから、会社は、国や{2}の特定の政策を支持、推進しまたは反対するなどの政治的行為をなす自由を有する。	参政権	法人	政党	
憲法	人権判例	最判平8.3.19（南九州税理士会事件）	【判例】税理士会は、法及び会則所定の方式による{0}原理により決定された団体の意思に基づいて活動する。しかし、法が税理士会を{1}の法人としている以上、その構成員である会員には、様々の{2}及び主義・主張を有する者が存在することが当然に予定されている。	多数決	強制加入	思想・信条	
憲法	人権判例	最大判昭53.10.4（マクリーン事件）	【判例】憲法第3章の諸規定による基本的人権の保障は、{0}上日本国民のみをその対象としていると解されているものを除き、わが国に在留する外国人に対しても等しく及ぶものと解すべきである。	権利の性質			
憲法	人権判例	最大判昭44.12.24（京都府学連事件）	【判例】個人の私生活上の自由の一つとして、何人も、その承諾なしに、みだりにその容ぼう・姿態を撮影されない自由を有する。これを{0}と称するかどうかは別として、警察官が正当な理由もないのに個人の容ぼう等を撮影することは、憲法13条の趣旨に反し許されない。	肖像権			
憲法	人権判例	最判昭56.4.14（前科照会事件）	【判例】前科及び犯罪経歴は人の{0}、信用に直接にかかわる事項であり、前科等のある者もこれをみだりに公開されないという{1}利益を有する。市区町村長が漫然と弁護士会の照会に応じ、犯罪の種類、{2}を問わず、前科等のすべてを報告することは、{3}にあたる。	名誉	法律上の保護に値する	軽重	公権力の違法な行使
憲法	人権判例	最大決平25.9.4（非嫡出子相続分事件）	【判例】{0}という制度自体はわが国に定着しているとしても、父母が{1}関係になかったという子にとっては自ら選択ないし修正する余地のない事柄を理由としてその子に不利益を及ぼすことは許されず、子を{2}として尊重し、その権利を保障すべきであるという考えが確立されてきている。	法律婚	婚姻	個人	
憲法	人権判例	最大判昭31.7.4（謝罪広告強制事件）	【判例】謝罪広告を命ずる判決にも、これを命ずる場合の執行が債務者の意思のみに係る不代替作為として{0}によるを相当とするものもあるが、単に事態の真相を告白し{1}を表明するに止まる程度のものにあっては、代替作為として強制執行しうる。	間接強制	陳謝の意		
憲法	人権判例	最大判昭52.7.13（津地鎮祭事件）	【判例】政教分離規定は、いわゆる{0}の規定であって、信教の自由そのものを直接保障するものではなく、{1}に信教の自由の保障を確保しようとするものである。憲法20条3項にいう宗教的活動とは、当該行為の{2}が宗教的意義をもち、その{3}が宗教に対する援助、助長、促進又は圧迫、干渉等になるような行為をいう。	制度的保障	間接的	目的	効果
憲法	人権判例	最大決昭44.11.26（博多駅事件）	【判例】報道機関の報道は、{0}社会において、国民が国政に関与するにつき重要な判断の資料を提供し、国民の「{1}」に奉仕するものである。報道が正しい内容をもつためには、報道の自由とともに、報道のための{2}の自由も、憲法21条の精神に照らし十分尊重に値いする。	民主主義	知る権利	取材	
憲法	人権判例	最大判昭59.12.12（税関検査事件）	【判例】憲法21条2項にいう「検閲」とは、{0}が主体となって、{1}等の表現物を対象とし、その全部又は一部の発表の禁止を目的として、対象とされる一定の表現物につき{2}一般的に、発表前にその内容を審査した上、不適当と認めるものの発表を禁止することを、その特質として備えるものを指す。	行政権	思想内容	網羅的	
